hierarchy;SIDC;fullpath;name;icon-png;icon-svg
1.X.3.1.1.3.7.2;S*G*UCAAAW;GROUND TRACK|UNIT|COMBAT|ANTI ARMOUR|ANTI ARMOUR ARMOURED|ANTI ARMOUR ARMOURED WHEELED;ANTI ARMOUR ARMOURED WHEELED;1.X.3.1.1.3.7.2.png;1.X.3.1.1.3.7.2.svg
1.X.3.1.1.3.7.3;S*G*UCAAAS;GROUND TRACK|UNIT|COMBAT|ANTI ARMOUR|ANTI ARMOUR ARMOURED|ANTI ARMOUR ARMOURED AIR ASSAULT;ANTI ARMOUR ARMOURED AIR ASSAULT;1.X.3.1.1.3.7.3.png;1.X.3.1.1.3.7.3.svg
1.X.3.1.1.3.8;S*G*UCAAO-;GROUND TRACK|UNIT|COMBAT|ANTI ARMOUR|ANTI ARMOUR MOTORIZED;ANTI ARMOUR MOTORIZED;1.X.3.1.1.3.8.png;1.X.3.1.1.3.8.svg
1.X.3.1.1.3.8.1;S*G*UCAAOS;GROUND TRACK|UNIT|COMBAT|ANTI ARMOUR|ANTI ARMOUR MOTORIZED|ANTI ARMOUR MOTORIZED AIR ASSAULT;ANTI ARMOUR MOTORIZED AIR ASSAULT;1.X.3.1.1.3.8.1.png;1.X.3.1.1.3.8.1.svg
1.X.3.1.1.4;S*G*UCV---;GROUND TRACK|UNIT|COMBAT|AVIATION;AVIATION;1.X.3.1.1.4.png;1.X.3.1.1.4.svg
1.X.3.1.1.4.1;S*G*UCVF--;GROUND TRACK|UNIT|COMBAT|AVIATION|FIXED WING;FIXED WING;1.X.3.1.1.4.1.png;1.X.3.1.1.4.1.svg
1.X.3.1.1.4.1.1;S*G*UCVFU-;GROUND TRACK|UNIT|COMBAT|AVIATION|FIXED WING|UTILITY FIXED WING;UTILITY FIXED WING;1.X.3.1.1.4.1.1.png;1.X.3.1.1.4.1.1.svg
1.X.3.1.1.4.1.2;S*G*UCVFA-;GROUND TRACK|UNIT|COMBAT|AVIATION|FIXED WING|ATTACK FIXED WING;ATTACK FIXED WING;1.X.3.1.1.4.1.2.png;1.X.3.1.1.4.1.2.svg
1.X.3.1.1.4.1.2.1;S*G*UCVUTP;GROUND TRACK|UNIT|COMBAT|AVIATION|FIXED WING|ATTACK FIXED WING|TACTICAL AIR CONTROL PARTY (TACP);TACTICAL AIR CONTROL PARTY (TACP);1.X.3.1.1.4.1.2.1.png;1.X.3.1.1.4.1.2.1.svg
1.X.3.1.1.4.1.2.2;S*G*UCVUFC;GROUND TRACK|UNIT|COMBAT|AVIATION|FIXED WING|ATTACK FIXED WING|FORWARD AIR CONTROLLER (FAC);FORWARD AIR CONTROLLER (FAC);1.X.3.1.1.4.1.2.2.png;1.X.3.1.1.4.1.2.2.svg
1.X.3.1.1.4.1.3;S*G*UCVFR-;GROUND TRACK|UNIT|COMBAT|AVIATION|FIXED WING|RECON FIXED WING;RECON FIXED WING;1.X.3.1.1.4.1.3.png;1.X.3.1.1.4.1.3.svg
1.X.3.1.1.4.2;S*G*UCVR--;GROUND TRACK|UNIT|COMBAT|AVIATION|ROTARY WING;ROTARY WING;1.X.3.1.1.4.2.png;1.X.3.1.1.4.2.svg
1.X.3.1.1.4.2.1;S*G*UCVRA-;GROUND TRACK|UNIT|COMBAT|AVIATION|ROTARY WING|ATTACK ROTARY WING;ATTACK ROTARY WING;1.X.3.1.1.4.2.1.png;1.X.3.1.1.4.2.1.svg
1.X.3.1.1.4.2.2;S*G*UCVRS-;GROUND TRACK|UNIT|COMBAT|AVIATION|ROTARY WING|SCOUT ROTARY WING;SCOUT ROTARY WING;1.X.3.1.1.4.2.2.png;1.X.3.1.1.4.2.2.svg
1.X.3.1.1.4.2.3;S*G*UCVRW-;GROUND TRACK|UNIT|COMBAT|AVIATION|ROTARY WING|ANTISUBMARINE WARFARE ROTARY WING;ANTISUBMARINE WARFARE ROTARY WING;1.X.3.1.1.4.2.3.png;1.X.3.1.1.4.2.3.svg
1.X.3.1.1.4.2.4;S*G*UCVRU-;GROUND TRACK|UNIT|COMBAT|AVIATION|ROTARY WING|UTILITY ROTARY WING;UTILITY ROTARY WING;1.X.3.1.1.4.2.4.png;1.X.3.1.1.4.2.4.svg
1.X.3.1.1.4.2.4.1;S*G*UCVRUL;GROUND TRACK|UNIT|COMBAT|AVIATION|ROTARY WING|UTILITY ROTARY WING|LIGHT UTILITY ROTARY WING;LIGHT UTILITY ROTARY WING;1.X.3.1.1.4.2.4.1.png;1.X.3.1.1.4.2.4.1.svg
1.X.3.1.1.4.2.4.2;S*G*UCVRUM;GROUND TRACK|UNIT|COMBAT|AVIATION|ROTARY WING|UTILITY ROTARY WING|MEDIUM UTILITY ROTARY WING;MEDIUM UTILITY ROTARY WING;1.X.3.1.1.4.2.4.2.png;1.X.3.1.1.4.2.4.2.svg
1.X.3.1.1.4.2.4.3;S*G*UCVRUH;GROUND TRACK|UNIT|COMBAT|AVIATION|ROTARY WING|UTILITY ROTARY WING|HEAVY UTILITY ROTARY WING;HEAVY UTILITY ROTARY WING;1.X.3.1.1.4.2.4.3.png;1.X.3.1.1.4.2.4.3.svg
1.X.3.1.1.4.2.5;S*G*UCVRUC;GROUND TRACK|UNIT|COMBAT|AVIATION|ROTARY WING|C2 ROTARY WING;C2 ROTARY WING;1.X.3.1.1.4.2.5.png;1.X.3.1.1.4.2.5.svg
1.X.3.1.1.4.2.6;S*G*UCVRUE;GROUND TRACK|UNIT|COMBAT|AVIATION|ROTARY WING|MEDEVAC ROTARY WING;MEDEVAC ROTARY WING;1.X.3.1.1.4.2.6.png;1.X.3.1.1.4.2.6.svg
1.X.3.1.1.4.2.7;S*G*UCVRM-;GROUND TRACK|UNIT|COMBAT|AVIATION|ROTARY WING|MINE COUNTERMEASURE ROTARY WING;MINE COUNTERMEASURE ROTARY WING;1.X.3.1.1.4.2.7.png;1.X.3.1.1.4.2.7.svg
1.X.3.1.1.4.3;S*G*UCVS--;GROUND TRACK|UNIT|COMBAT|AVIATION|PERSONNEL RECOVERY;PERSONNEL RECOVERY;1.X.3.1.1.4.3.png;1.X.3.1.1.4.3.svg
1.X.3.1.1.4.4;S*G*UCVC--;GROUND TRACK|UNIT|COMBAT|AVIATION|COMPOSITE;COMPOSITE;1.X.3.1.1.4.4.png;1.X.3.1.1.4.4.svg
1.X.3.1.1.4.5;S*G*UCVV--;GROUND TRACK|UNIT|COMBAT|AVIATION|VERTICAL/SHORT TAKEOFF AND LANDING (V/STOL);VERTICAL/SHORT TAKEOFF AND LANDING (V/STOL);1.X.3.1.1.4.5.png;1.X.3.1.1.4.5.svg
1.X.3.1.1.4.6;S*G*UCVU--;GROUND TRACK|UNIT|COMBAT|AVIATION|UNMANNED AERIAL VEHICLE;UNMANNED AERIAL VEHICLE;1.X.3.1.1.4.6.png;1.X.3.1.1.4.6.svg
1.X.3.1.1.4.6.1;S*G*UCVUF-;GROUND TRACK|UNIT|COMBAT|AVIATION|UNMANNED AERIAL VEHICLE|UNMANNED AERIAL VEHICLE FIXED WING;UNMANNED AERIAL VEHICLE FIXED WING;1.X.3.1.1.4.6.1.png;1.X.3.1.1.4.6.1.svg
1.X.3.1.1.4.6.1.1;S*G*UCVU--;GROUND TRACK|UNIT|COMBAT|AVIATION|UNMANNED AERIAL VEHICLE|UNMANNED AERIAL VEHICLE FIXED WING|AVIATION UAV CONTROL;AVIATION UAV CONTROL;1.X.3.1.1.4.6.1.1.png;1.X.3.1.1.4.6.1.1.svg
1.X.3.1.1.4.6.1.2;S*G*UCVU--;GROUND TRACK|UNIT|COMBAT|AVIATION|UNMANNED AERIAL VEHICLE|UNMANNED AERIAL VEHICLE FIXED WING|AVIATION UAV LAUNCHER;AVIATION UAV LAUNCHER;1.X.3.1.1.4.6.1.2.png;1.X.3.1.1.4.6.1.2.svg
1.X.3.1.1.4.6.1.3;S*G*UCVU--;GROUND TRACK|UNIT|COMBAT|AVIATION|UNMANNED AERIAL VEHICLE|UNMANNED AERIAL VEHICLE FIXED WING|AVIATION UAV RECOVERY;AVIATION UAV RECOVERY;1.X.3.1.1.4.6.1.3.png;1.X.3.1.1.4.6.1.3.svg
1.X.3.1.1.4.6.2;S*G*UCVUR-;GROUND TRACK|UNIT|COMBAT|AVIATION|UNMANNED AERIAL VEHICLE|UNMANNED AERIAL VEHICLE ROTARY WING;UNMANNED AERIAL VEHICLE ROTARY WING;1.X.3.1.1.4.6.2.png;1.X.3.1.1.4.6.2.svg
1.X.3.1.1.4.6.3;S*G*UCVUTP;GROUND TRACK|UNIT|COMBAT|AVIATION|UNMANNED AERIAL VEHICLE|TACTICAL AIR CONTROL PARTY (TACP);TACTICAL AIR CONTROL PARTY (TACP);1.X.3.1.1.4.6.3.png;1.X.3.1.1.4.6.3.svg
1.X.3.1.1.4.6.4;S*G*UCVUFC;GROUND TRACK|UNIT|COMBAT|AVIATION|UNMANNED AERIAL VEHICLE|FORWARD AIR CONTROLLER (FAC);FORWARD AIR CONTROLLER (FAC);1.X.3.1.1.4.6.4.png;1.X.3.1.1.4.6.4.svg
1.X.3.1.1.5;S*G*UCI---;GROUND TRACK|UNIT|COMBAT|INFANTRY;INFANTRY;1.X.3.1.1.5.png;1.X.3.1.1.5.svg
1.X.3.1.1.5.1;S*G*UCIL--;GROUND TRACK|UNIT|COMBAT|INFANTRY|INFANTRY LIGHT;INFANTRY LIGHT;1.X.3.1.1.5.1.png;1.X.3.1.1.5.1.svg
1.X.3.1.1.5.2;S*G*UCIM--;GROUND TRACK|UNIT|COMBAT|INFANTRY|INFANTRY MOTORIZED;INFANTRY MOTORIZED;1.X.3.1.1.5.2.png;1.X.3.1.1.5.2.svg
1.X.3.1.1.5.3;S*G*UCIO--;GROUND TRACK|UNIT|COMBAT|INFANTRY|INFANTRY MOUNTAIN;INFANTRY MOUNTAIN;1.X.3.1.1.5.3.png;1.X.3.1.1.5.3.svg
1.X.3.1.1.5.4;S*G*UCIA--;GROUND TRACK|UNIT|COMBAT|INFANTRY|INFANTRY AIRBORNE;INFANTRY AIRBORNE;1.X.3.1.1.5.4.png;1.X.3.1.1.5.4.svg
1.X.3.1.1.5.5;S*G*UCIS--;GROUND TRACK|UNIT|COMBAT|INFANTRY|INFANTRY AIR ASSAULT;INFANTRY AIR ASSAULT;1.X.3.1.1.5.5.png;1.X.3.1.1.5.5.svg
1.X.3.1.1.5.6;S*G*UCIZ--;GROUND TRACK|UNIT|COMBAT|INFANTRY|INFANTRY MECHANIZED;INFANTRY MECHANIZED;1.X.3.1.1.5.6.png;1.X.3.1.1.5.6.svg
1.X.3.1.1.5.7;S*G*UCIN--;GROUND TRACK|UNIT|COMBAT|INFANTRY|INFANTRY NAVAL;INFANTRY NAVAL;1.X.3.1.1.5.7.png;1.X.3.1.1.5.7.svg
1.X.3.1.1.5.8;S*G*UCII--;GROUND TRACK|UNIT|COMBAT|INFANTRY|INFANTRY FIGHTING VEHICLE;INFANTRY FIGHTING VEHICLE;1.X.3.1.1.5.8.png;1.X.3.1.1.5.8.svg
1.X.3.1.1.5.9;S*G*UCIC--;GROUND TRACK|UNIT|COMBAT|INFANTRY|INFANTRY ARCTIC;INFANTRY ARCTIC;1.X.3.1.1.5.9.png;1.X.3.1.1.5.9.svg
1.X.3.1.1.5.10;S*G*UCIC--;GROUND TRACK|UNIT|COMBAT|INFANTRY|INFANTRY SNIPER;INFANTRY SNIPER;1.X.3.1.1.5.10.png;1.X.3.1.1.5.10.svg
1.X.3.1.1.6;S*G*UCE---;GROUND TRACK|UNIT|COMBAT|ENGINEER;ENGINEER;1.X.3.1.1.6.png;1.X.3.1.1.6.svg
1.X.3.1.1.6.1;S*G*UCEC--;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER COMBAT;ENGINEER COMBAT;1.X.3.1.1.6.1.png;1.X.3.1.1.6.1.svg
1.X.3.1.1.6.1.1;S*G*UCECS-;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER COMBAT|ENGINEER COMBAT AIR ASSAULT;ENGINEER COMBAT AIR ASSAULT;1.X.3.1.1.6.1.1.png;1.X.3.1.1.6.1.1.svg
1.X.3.1.1.6.1.2;S*G*UCECA-;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER COMBAT|ENGINEER COMBAT AIRBORNE;ENGINEER COMBAT AIRBORNE;1.X.3.1.1.6.1.2.png;1.X.3.1.1.6.1.2.svg
1.X.3.1.1.6.1.3;S*G*UCECC-;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER COMBAT|ENGINEER COMBAT ARCTIC;ENGINEER COMBAT ARCTIC;1.X.3.1.1.6.1.3.png;1.X.3.1.1.6.1.3.svg
1.X.3.1.1.6.1.4;S*G*UCECL-;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER COMBAT|ENGINEER COMBAT LIGHT;ENGINEER COMBAT LIGHT;1.X.3.1.1.6.1.4.png;1.X.3.1.1.6.1.4.svg
1.X.3.1.1.6.1.5;S*G*UCECM-;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER COMBAT|ENGINEER COMBAT MEDIUM;ENGINEER COMBAT MEDIUM;1.X.3.1.1.6.1.5.png;1.X.3.1.1.6.1.5.svg
1.X.3.1.1.6.1.6;S*G*UCECH-;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER COMBAT|ENGINEER COMBAT HEAVY;ENGINEER COMBAT HEAVY;1.X.3.1.1.6.1.6.png;1.X.3.1.1.6.1.6.svg
1.X.3.1.1.6.1.7;S*G*UCECT-;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER COMBAT|ENGINEER COMBAT MECHANIZED (TRACK);ENGINEER COMBAT MECHANIZED (TRACK);1.X.3.1.1.6.1.7.png;1.X.3.1.1.6.1.7.svg
1.X.3.1.1.6.1.8;S*G*UCECW-;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER COMBAT|ENGINEER COMBAT MOTORIZED;ENGINEER COMBAT MOTORIZED;1.X.3.1.1.6.1.8.png;1.X.3.1.1.6.1.8.svg
1.X.3.1.1.6.1.9;S*G*UCECO-;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER COMBAT|ENGINEER COMBAT MOUNTAIN;ENGINEER COMBAT MOUNTAIN;1.X.3.1.1.6.1.9.png;1.X.3.1.1.6.1.9.svg
1.X.3.1.1.6.1.10;S*G*UCECR-;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER COMBAT|ENGINEER COMBAT RECON;ENGINEER COMBAT RECON;1.X.3.1.1.6.1.10.png;1.X.3.1.1.6.1.10.svg
1.X.3.1.1.6.1.11;S*G*UCEC--;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER COMBAT|ENGINEER COMBAT BRIDGING;ENGINEER COMBAT BRIDGING;1.X.3.1.1.6.1.11.png;1.X.3.1.1.6.1.11.svg
1.X.3.1.1.6.1.12;S*G*UCEC--;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER COMBAT|ENGINEER COMBAT MINE CLEARING;ENGINEER COMBAT MINE CLEARING;1.X.3.1.1.6.1.12.png;1.X.3.1.1.6.1.12.svg
1.X.3.1.1.6.1.13;S*G*UCEC--;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER COMBAT|ENGINEER COMBAT MINE LAYING;ENGINEER COMBAT MINE LAYING;1.X.3.1.1.6.1.13.png;1.X.3.1.1.6.1.13.svg
1.X.3.1.1.6.1.14;S*G*UCEC--;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER COMBAT|ENGINEER COMBAT DIVING;ENGINEER COMBAT DIVING;1.X.3.1.1.6.1.14.png;1.X.3.1.1.6.1.14.svg
1.X.3.1.1.6.2;S*G*UCEN--;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER CONSTRUCTION;ENGINEER CONSTRUCTION;1.X.3.1.1.6.2.png;1.X.3.1.1.6.2.svg
1.X.3.1.1.6.2.1;S*G*UCENN-;GROUND TRACK|UNIT|COMBAT|ENGINEER|ENGINEER CONSTRUCTION|ENGINEER NAVAL CONSTRUCTION;ENGINEER NAVAL CONSTRUCTION;1.X.3.1.1.6.2.1.png;1.X.3.1.1.6.2.1.svg
1.X.3.1.1.7;S*G*UCF---;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY;FIELD ARTILLERY;1.X.3.1.1.7.png;1.X.3.1.1.7.svg
1.X.3.1.1.7.1;S*G*UCFH--;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|HOWITZER/GUN;HOWITZER/GUN;1.X.3.1.1.7.1.png;1.X.3.1.1.7.1.svg
1.X.3.1.1.7.1.1;S*G*UCFHE-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|HOWITZER/GUN|SELF PROPELLED;SELF PROPELLED;1.X.3.1.1.7.1.1.png;1.X.3.1.1.7.1.1.svg
1.X.3.1.1.7.1.2;S*G*UCFHS-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|HOWITZER/GUN|AIR ASSAULT;AIR ASSAULT;1.X.3.1.1.7.1.2.png;1.X.3.1.1.7.1.2.svg
1.X.3.1.1.7.1.3;S*G*UCFHA-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|HOWITZER/GUN|AIRBORNE;AIRBORNE;1.X.3.1.1.7.1.3.png;1.X.3.1.1.7.1.3.svg
1.X.3.1.1.7.1.4;S*G*UCFHC-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|HOWITZER/GUN|ARCTIC;ARCTIC;1.X.3.1.1.7.1.4.png;1.X.3.1.1.7.1.4.svg
1.X.3.1.1.7.1.5;S*G*UCFHO-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|HOWITZER/GUN|MOUNTAIN;MOUNTAIN;1.X.3.1.1.7.1.5.png;1.X.3.1.1.7.1.5.svg
1.X.3.1.1.7.1.6;S*G*UCFHL-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|HOWITZER/GUN|LIGHT;LIGHT;1.X.3.1.1.7.1.6.png;1.X.3.1.1.7.1.6.svg
1.X.3.1.1.7.1.7;S*G*UCFHM-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|HOWITZER/GUN|MEDIUM;MEDIUM;1.X.3.1.1.7.1.7.png;1.X.3.1.1.7.1.7.svg
1.X.3.1.1.7.1.8;S*G*UCFHH-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|HOWITZER/GUN|HEAVY;HEAVY;1.X.3.1.1.7.1.8.png;1.X.3.1.1.7.1.8.svg
1.X.3.1.1.7.1.9;S*G*UCFHX-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|HOWITZER/GUN|AMPHIBIOUS;AMPHIBIOUS;1.X.3.1.1.7.1.9.png;1.X.3.1.1.7.1.9.svg
1.X.3.1.1.7.2;S*G*UCFR--;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|ROCKET;ROCKET;1.X.3.1.1.7.2.png;1.X.3.1.1.7.2.svg
1.X.3.1.1.7.2.1;S*G*UCFRS-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|ROCKET|SINGLE ROCKET LAUNCHER;SINGLE ROCKET LAUNCHER;1.X.3.1.1.7.2.1.png;1.X.3.1.1.7.2.1.svg
1.X.3.1.1.7.2.1.1;S*G*UCFRSS;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|ROCKET|SINGLE ROCKET LAUNCHER|SINGLE ROCKET SELF PROPELLED;SINGLE ROCKET SELF PROPELLED;1.X.3.1.1.7.2.1.1.png;1.X.3.1.1.7.2.1.1.svg
1.X.3.1.1.7.2.1.2;S*G*UCFRSR;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|ROCKET|SINGLE ROCKET LAUNCHER|SINGLE ROCKET TRUCK;SINGLE ROCKET TRUCK;1.X.3.1.1.7.2.1.2.png;1.X.3.1.1.7.2.1.2.svg
1.X.3.1.1.7.2.1.3;S*G*UCFRST;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|ROCKET|SINGLE ROCKET LAUNCHER|SINGLE ROCKET TOWED;SINGLE ROCKET TOWED;1.X.3.1.1.7.2.1.3.png;1.X.3.1.1.7.2.1.3.svg
1.X.3.1.1.7.2.2;S*G*UCFRM-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|ROCKET|MULTI ROCKET LAUNCHER;MULTI ROCKET LAUNCHER;1.X.3.1.1.7.2.2.png;1.X.3.1.1.7.2.2.svg
1.X.3.1.1.7.2.2.1;S*G*UCFRMS;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|ROCKET|MULTI ROCKET LAUNCHER|MULTI ROCKET SELF PROPELLED;MULTI ROCKET SELF PROPELLED;1.X.3.1.1.7.2.2.1.png;1.X.3.1.1.7.2.2.1.svg
1.X.3.1.1.7.2.2.2;S*G*UCFRMR;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|ROCKET|MULTI ROCKET LAUNCHER|MULTI ROCKET TRUCK;MULTI ROCKET TRUCK;1.X.3.1.1.7.2.2.2.png;1.X.3.1.1.7.2.2.2.svg
1.X.3.1.1.7.2.2.3;S*G*UCFRMT;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|ROCKET|MULTI ROCKET LAUNCHER|MULTI ROCKET TOWED;MULTI ROCKET TOWED;1.X.3.1.1.7.2.2.3.png;1.X.3.1.1.7.2.2.3.svg
1.X.3.1.1.7.3;S*G*UCFT--;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|TARGET ACQUISITION;TARGET ACQUISITION;1.X.3.1.1.7.3.png;1.X.3.1.1.7.3.svg
1.X.3.1.1.7.3.1;S*G*UCFTR-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|TARGET ACQUISITION|RADAR;RADAR;1.X.3.1.1.7.3.1.png;1.X.3.1.1.7.3.1.svg
1.X.3.1.1.7.3.2;S*G*UCFTS-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|TARGET ACQUISITION|SOUND;SOUND;1.X.3.1.1.7.3.2.png;1.X.3.1.1.7.3.2.svg
1.X.3.1.1.7.3.3;S*G*UCFTF-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|TARGET ACQUISITION|FLASH (OPTICAL);FLASH (OPTICAL);1.X.3.1.1.7.3.3.png;1.X.3.1.1.7.3.3.svg
1.X.3.1.1.7.3.4;S*G*UCFTC-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|TARGET ACQUISITION|TARGET ACQUISITION MOUNTED;TARGET ACQUISITION MOUNTED;1.X.3.1.1.7.3.4.png;1.X.3.1.1.7.3.4.svg
1.X.3.1.1.7.3.4.1;S*G*UCFTCD;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|TARGET ACQUISITION|TARGET ACQUISITION MOUNTED|TARGET ACQUISITION DISMOUNTED;TARGET ACQUISITION DISMOUNTED;1.X.3.1.1.7.3.4.1.png;1.X.3.1.1.7.3.4.1.svg
1.X.3.1.1.7.3.4.2;S*G*UCFTCM;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|TARGET ACQUISITION|TARGET ACQUISITION MOUNTED|TARGET ACQUISITION TRACKED;TARGET ACQUISITION TRACKED;1.X.3.1.1.7.3.4.2.png;1.X.3.1.1.7.3.4.2.svg
1.X.3.1.1.7.3.5;S*G*UCFTA-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|TARGET ACQUISITION|TARGET ACQUISITION NAVAL GUNFIRE;TARGET ACQUISITION NAVAL GUNFIRE;1.X.3.1.1.7.3.5.png;1.X.3.1.1.7.3.5.svg
1.X.3.1.1.7.4;S*G*UCFM--;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|MORTAR;MORTAR;1.X.3.1.1.7.4.png;1.X.3.1.1.7.4.svg
1.X.3.1.1.7.4.1;S*G*UCFMS-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|MORTAR|SELF PROPELLED (SP) TRACKED MORTAR;SELF PROPELLED (SP) TRACKED MORTAR;1.X.3.1.1.7.4.1.png;1.X.3.1.1.7.4.1.svg
1.X.3.1.1.7.4.2;S*G*UCFMSW;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|MORTAR|SP WHEELED MORTAR;SP WHEELED MORTAR;1.X.3.1.1.7.4.2.png;1.X.3.1.1.7.4.2.svg
1.X.3.1.1.7.4.3;S*G*UCFMT-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|MORTAR|TOWED MORTAR;TOWED MORTAR;1.X.3.1.1.7.4.3.png;1.X.3.1.1.7.4.3.svg
1.X.3.1.1.7.4.3.1;S*G*UCFMTA;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|MORTAR|TOWED MORTAR|TOWED AIRBORNE MORTAR;TOWED AIRBORNE MORTAR;1.X.3.1.1.7.4.3.1.png;1.X.3.1.1.7.4.3.1.svg
1.X.3.1.1.7.4.3.2;S*G*UCFMTS;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|MORTAR|TOWED MORTAR|TOWED AIR ASSAULT MORTAR;TOWED AIR ASSAULT MORTAR;1.X.3.1.1.7.4.3.2.png;1.X.3.1.1.7.4.3.2.svg
1.X.3.1.1.7.4.3.3;S*G*UCFMTC;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|MORTAR|TOWED MORTAR|TOWED ARCTIC MORTAR;TOWED ARCTIC MORTAR;1.X.3.1.1.7.4.3.3.png;1.X.3.1.1.7.4.3.3.svg
1.X.3.1.1.7.4.3.4;S*G*UCFMTO;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|MORTAR|TOWED MORTAR|TOWED MOUNTAIN MORTAR;TOWED MOUNTAIN MORTAR;1.X.3.1.1.7.4.3.4.png;1.X.3.1.1.7.4.3.4.svg
1.X.3.1.1.7.4.4;S*G*UCFML-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|MORTAR|AMPHIBIOUS MORTAR;AMPHIBIOUS MORTAR;1.X.3.1.1.7.4.4.png;1.X.3.1.1.7.4.4.svg
1.X.3.1.1.7.5;S*G*UCFS--;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|ARTILLERY SURVEY;ARTILLERY SURVEY;1.X.3.1.1.7.5.png;1.X.3.1.1.7.5.svg
1.X.3.1.1.7.5.1;S*G*UCFSS-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|ARTILLERY SURVEY|AIR ASSAULT;AIR ASSAULT;1.X.3.1.1.7.5.1.png;1.X.3.1.1.7.5.1.svg
1.X.3.1.1.7.5.2;S*G*UCFSA-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|ARTILLERY SURVEY|AIRBORNE;AIRBORNE;1.X.3.1.1.7.5.2.png;1.X.3.1.1.7.5.2.svg
1.X.3.1.1.7.5.3;S*G*UCFSL-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|ARTILLERY SURVEY|LIGHT;LIGHT;1.X.3.1.1.7.5.3.png;1.X.3.1.1.7.5.3.svg
1.X.3.1.1.7.5.4;S*G*UCFSO-;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|ARTILLERY SURVEY|MOUNTAIN;MOUNTAIN;1.X.3.1.1.7.5.4.png;1.X.3.1.1.7.5.4.svg
1.X.3.1.1.7.6;S*G*UCFO--;GROUND TRACK|UNIT|COMBAT|FIELD ARTILLERY|METEOROLOGICAL;METEOROLOGICAL;1.X.3.1.1.7.6.png;1.X.3.1.1.7.6.svg
